fr,en
Non ; la couverture de l'étude est supérieure,No; survey coverage is greater
Non ; la couverture de l'étude est considérablement supérieure,No; survey coverage is much greater
Non ; la couverture de l'étude est inférieure,No; survey coverage is less
Non ; la couverture de l'étude est considérablement inférieure,No; survey coverage is much less
"« Unité de mise en œuvre », « Couverture de l'étude », « Couverture rapportée », « Écart », « La couverture de l'étude et la couverture rapportée sont similaires »","""IU"", ""Survey Coverage"",""Reported Coverage"",""Difference"", ""Survey Coverage & Reported Coverage are Similar"""
« Écart »,“Difference”
La couverture rapportée est comprise dans l'intervalle de confiance de 95 % contournant la couverture de l'étude.  Cela signifie que la couverture rapportée peut être considérée comme « validée » au sein de cette Unité de mise en œuvre ; aucune intervention ou amélioration au système de rapport n'est nécessaire.,The reported coverage is contained within the 95% confidence interval around the survey coverage.  This means the reported coverage can be considered be “validated” in that IU; no action or improvements are required to the reporting system.
"La couverture rapportée se situe hors de l'intervalle de confiance de 95 % contournant la couverture de l'étude, mais est encore à ± 10 points de pourcentage de la couverture de l'étude, ce qui indique que le système de rapport fonctionne correctement ; aucune intervention ou amélioration au système de rapport n'est nécessaire.","The reported coverage is outside the 95% confidence interval around the survey coverage but is still within ± 10 percentage points of the survey coverage, which suggests the reporting system is working well; no action or improvements are required to the reporting system."
La couverture rapportée se situe entre ± 10 et 25 points de pourcentage d'écart de la couverture de l'étude.  Cela semble indiquer un éventuel problème au niveau du système de rapport et qu'une intervention peut s'avérer nécessaire si les ressources le permettent.,The reported coverage is between ± 10 to 25 percentage points different from the survey coverage.  This suggests there could be a problem with the reporting system and action may be required if resources permit.
La couverture rapportée se situe au moins à ± 25 points de pourcentage d'écart de la couverture de l'étude. Cela semble indiquer qu'il y a un véritable problème au niveau de la couverture rapportée et qu'une mesure de suivi destinée à améliorer le système de rapport dans l'unité de mise en œuvre est requise.,"The reported coverage is at least ± 25 percentage points different from the survey coverage. This suggests that there is a real problem with the reported coverage and follow-up action to improve the reporting system in the IU is required."""
"Conclusion, Interprétation de la validation","Conclusion, Validation Interpretation"
"Conclusion, Interprétation du seuil ","Conclusion, Threshold Interpretation"
La couverture de l'étude est égale ou supérieure au seuil fixé pour la [maladie] ([seuil] %),The surveyed coverage is at or above the threshold for [disease] ([threshold]%)
La couverture de l'étude correspond au seuil fixé pour la [maladie] ([seuil] %),The surveyed coverage is the threshold for [disease] ([threshold]%)
Le résultat souhaité serait que la couverture de l'étude se situe dans les 10 % de la couverture rapportée et atteigne le seuil de couverture cible fixé par l'OMS pour la [maladie].,"The desired outcome is to have the surveyed coverage within 10% of the reported coverage, as well as meet WHO's target coverage threshold for [disease]."
COUVERTURE DE L'ÉTUDE PAR SEXE,SURVEY COVERAGE BY SEX
"Tableau 3. Portée du programme et couverture e l'étude par sexe : [Unité de mise en œuvre], [Pays]","Table 3. Programme reach and survey coverage by sex: [IU], [Country]"
"Tableau 3. Couverture de l'étude par sexe : [Unité de mise en œuvre], [Pays]","Table 3. Survey coverage by sex: [IU], [Country]"
Unité de mise en œuvre,Implementation Unit
% atteint parmi les femmes interrogées (médicament proposé),% Reached amongst females interviewed (offered drug)
% atteint parmi les hommes interrogés (médicament proposé),% Reached amongst males interviewed (offered drug)
La portée du programme présente un écart statistique entre les femmes et les hommes,Programme Reach for females statistically different from males
% traité parmi les femmes interrogées (médicament avalé),% Treated amongst females interviewed (swallowed drug)
% traité parmi les hommes interrogés (médicament avalé),% Treated amongst males interviewed (swallowed drug)
La couverture de traitement présente un écart statistique entre les femmes et les hommes,Treatment Coverage for females statistically different from males
La portée du programme présente un écart statistique entre les femmes et les hommes,Programme Reach for females statistically different from males
La couverture de traitement présente un écart statistique entre les femmes et les hommes »,"Treatment Coverage for females statistically different from males"""
Oui / Non,Yes / No
% traité parmi les femmes interrogées (médicament avalé),% Treated amongst females interviewed (swallowed drug)
% traité parmi les hommes interrogés (médicament avalé),% Treated amongst males interviewed (swallowed drug)
La couverture de traitement présente un écart statistique entre les femmes et les hommes,Treatment Coverage for females statistically different from males
BLEU indique que les femmes présentent un pourcentage considérablement supérieur,BLUE indicates females had a significantly higher percentage
ORANGE indique que les hommes présentent un pourcentage considérablement supérieur,ORANGE indicates males had a significantly higher percentage
Portée du programme par sexe,Programme Reach by Sex
Portée du programme (%),Programme Reach (%)
Portée de la couverture de l'étude par sexe :,Survey Coverage Reach by Sex
Portée de l'étude (%),Survey Reach (%)
Conformité par sexe ,Compliance by Sex
Conformité (%),Compliance (%)
Non-conformité par sexe,Non-Compliance by Sex
Non-conformité (%),Non-Compliance (%)
"Sexe, Non-conformité","Sex, Non-Compliance"
"Tableau 4. Non-conformité dans l'[Unité de mise en œuvre], [Pays].","Table 4. Non-Compliance in [IU], [Country]."
Annexe A. Interprétation et suivi des résultats de couverture rapportée et de l'étude,Appendix A. Interpreting and following up reported and survey coverage results
Ce tableau est extrait du document de l'OMS intitulé « Coverage Evaluation Surveys for Preventive Chemotherapy: Field Guide for Implementation » ; il sert à aider les utilisateurs à développer leur propre Plan d'action en fonction des résultat d'une ou plusieurs études sur la couverture.   Ce tableau indique les conclusions éventuelles susceptible de survenir lorsque la couverture de l'étude est comparée au seuil de couverture cible et à la couverture rapportée.  Le tableau fournit des causes potentielles à examiner et les mesures correctives possibles.,"This table is taken from the WHO document, “Coverage Evaluation Surveys for Preventive Chemotherapy: Field Guide for Implementation,” and is intended to help users in developing their own Action Plan as the result of a coverage survey(s).   This table lists the possible findings that can occur when the survey coverage is compared to both the target coverage threshold and the reported coverage.  The table provides potential causes to investigate and corrective actions that can be taken."
1. Comparaison de la couverture de l'étude au seuil de couverture cible : permet d'obtenir une meilleure estimation de la couverture dans les régions où il y a lieu de croire que les rapports de routine sont incorrects. ,1. Comparison of survey coverage to target coverage threshold: To get a better estimate of coverage where there is reason to believe routine reporting is incorrect.
La couverture de l'étude est inférieure au seuil de couverture cible,Survey coverage is below the target coverage threshold
La couverture de l'étude est supérieure au seuil de couverture cible,Survey coverage is above the target coverage threshold
"Vérifiez la couverture dans les diverses sous-populations pour vous assurer qu'aucun groupe particulier n'est laissé pour compte ou ne présente une couverture inférieure à la moyenne (par ex., les hommes par rapport aux femmes, les enfants en âge de scolarisation, les sous-districts particuliers, les minorités ethniques, etc.)","Check the coverage in the different sub-populations to determine whether any particular group is being left out or has lower than average coverage (e.g., males vs. females, SAC, particular sub-districts, ethnic minorities, etc.)"
Vérifiez les raisons pour lesquelles le médicament n'a pas été proposé à la population admissible,Check the reasons for why the eligible population was not  offered the drug
Vérifiez les raisons pour lesquelles la population admissible n'a pas avalé le médicament,Check the reasons for the eligible population not swallowing the drug
Les communautés et les distributeurs de médicaments font preuve de motivation et le programme fonctionne comme il faut,Communities and drug distributors are motivated and the programme is functioning well
Développez et mettez en œuvre la mobilisation sociale ciblée suivant les besoins,Develop and implement targeted social mobilization as required
Examinez les raisons pour lesquelles les sous-populations ne sont par correctement couvertes et effectuez les changements nécessaires au niveau de la stratégie / plateforme du traitement de masse pour atteindre les sous-populations concernées,Investigate the reasons why the sub-population(s) are not adequately covered and make the appropriate change in MDA strategy/platform to reach the sub-population(s)
Envisagez d'utiliser le processus de surveillance indépendant ou l'outil de surveillance de la couverture avec absorption du traitement de masse lors de la prochaine tournée pour améliorer la couverture,Consider using Independent Monitoring or the Coverage Supervision Tool with MDA mop-up during the next round to improve coverage
"Définisse les mesures correctives en fonction des raisons données, parmi lesquelles :",Tailor corrective action according to reasons given which include strengthening:
                      - la chaîne d'approvisionnement des médicaments,                      - Drug supply chain
                      - la mobilisation sociale et les campagnes d'information et d'éducation (référez-vous aux raisons données par les personnes ayant avalé le médicament),                      - Social mobilization and information and education campaigns (look at reasons given by those who did swallow the drug)
                      - la plateforme de distribution des médicaments utilisée,                      - Drug delivery platform used
"                      - la formation, la supervision et la motivation des distributeurs de médicaments","                      - Training, supervision and motivation of drug distributors"
                      - la communication sur les effets indésirables,                      - Communication on adverse events
                      - l'aptitude du personnel national et / ou du district.,"                      - Capacity of national and/or district level staff"","
Félicitez vos équipes.  Maintenez la dynamique du programme en cours pendant l'année à venir pour maintenir les niveaux de couverture,Congratulate your teams.  Sustain programme momentum for the next year to maintain coverage levels
Conclusion ou observation,Finding or observation
Causes potentielles à examiner,Potential Causes to Investigate
Mesure corrective,Corrective action
2. Comparaison de la couverture de l'étude à la couverture rapportée : Pour vérifier si le système de rapport des données fonctionne convenablement,2. Comparison of survey coverage with reported coverage: To check if the data reporting system is working well
La couverture rapportée est considérablement supérieure à la couverture de l'étude,Reported coverage is much higher than survey coverage
" (à savoir, les rapports de routine surestiment probablement la couverture réelle)"," (i.e., routine reporting is likely overestimating true coverage)"
La couverture rapportée est considérablement inférieure à la couverture de l'étude,Reported coverage is much lower than survey coverage
"(à savoir, les rapports de routine sous-estiment probablement la couverture réelle)","(i.e., routine reporting is likely underestimating true coverage)"
La couverture rapportée et la couverture de l'étude sont identiques,Reported coverage and survey coverage are similar
Les distributeurs de médicaments rapportent des résultats erronés quant à l'ingestion des médicaments,Drug distributors are incorrectly reporting on ingestion of the drugs
"La valeur de la population totale (par ex., le dénominateur) est incorrecte ou dépassée, ou des personnes extérieures à la zone d'étude prennent également les médicaments et sont comptées dans le recensement","The total population figure (e.g.,  the denominator) is incorrect or outdated, or people from outside the survey area are also taking the drugs and are being included in the total treatment tallies"
"La valeur de la population totale (par ex., le dénominateur) est incorrecte ou dépassée","The total population figure (e.g., the denominator) is incorrect or outdated"
Les données ne sont pas correctement cumulées ou rapportées,Data are not being correctly aggregated or reported
Le système de rapport en place est satisfaisant,A good reporting system is in place
Effectuez une auto-évaluation de la qualité des données ou une évaluation de la qualité des données pour déterminer à quel niveau le système de rapport présente des failles,Conduct a Data Quality Self-Assessment or Data Quality Assessment to diagnose where the data reporting system is breaking down
Améliorez les compétences et la motivation des distributeurs de médicaments grâce à une meilleure formation et supervision ; envisagez de recourir aux technologies mHealth,Improve the skills and motivation of drug distributors through better training and supervision; consider use of mHealth technologies
Apportez des améliorations aux feuilles de décompte et / ou aux registres utilisés ,Make improvements to the tally sheets and/or registers used
Déterminez si des estimations ou projections démographiques plus exactes sont disponibles et appliquez un coefficient de correction aux estimations de couverture de routine suivant les besoins,Determine if more accurate population estimates or projections are available and apply a correction factor to routine coverage estimates as appropriate
Demandez aux distributeurs de médicaments de noter et de rapporter séparément les personnes non résidentes ayant ingéré les médicaments et ne les comptez pas dans le numérateur pour calculer la couverture CP,Ask the drug distributors to record and report non-resident individuals ingesting the drugs separately and do not include them in the numerator for calculating PC coverage
Reportez-vous aux mesures correctives données pour le même problème mentionné ci-avant,Refer to corrective actions given for the same problem above
Effectuez une auto-évaluation de la qualité des données ou une évaluation de la qualité des données pour déterminer à quel niveau le système de rapport présente des failles,Conduct a Data Quality Self-Assessment or Data Quality Assessment to diagnose where the data reporting system is breaking down
"Félicitez vos équipes. Continuez d'utiliser le système de rapport actuel en doutant moins de l'exactitude de l'estimation de la couverture CP.  À l'avenir, les études devront générer moins de frais (au moins pour la zone d'étude actuelle).","Congratulate your teams. Continue using the current reporting system, with increased confidence that it provides a good estimate of PC coverage.  Less expenditure in future surveys (at least for the current survey area) is required."
"Conclusion ou observation, Causes potentielles à examiner, Mesure corrective","Finding or observation, Potential Causes to Investigate, Corrective action"
3. Comparaison de la couverture de l'étude à la portée du programme : Afin d'évaluer la conformité et le succès de la mobilisation sociale et de la stratégie de communication du programme,3. Comparison of survey coverage with programme reach: To assess compliance and the success of the programs social mobilization and communication strategy
La couverture de l'étude est inférieure à la portée du programme,Survey coverage is less than programme reach
La couverture de l'étude est supérieure à la portée du programme,Survey coverage is greater than programme reach
La couverture de l'étude est proche ou égale à la portée du programme,Survey coverage is close to or equal to programme reach
Vérifiez les raisons données pour expliquer pourquoi les personnes à qui le médicament a été proposé ne l'ont pas avalé,Check the reasons given for why individuals who were offered the drug did not swallow it
Il se peut qu'il y ait un problème au niveau des données de l'étude sur la couverture.  Vérifiez que l'équipe de l'étude ont correctement exécuté le questionnaire ; recomptez les résultats et vérifiez qu'il n'y a pas d'erreurs arithmétiques,There may be a problem with the coverage survey data.  Check to see if the survey team implemented the questionnaire correctly; recount results and check for arithmetic errors
Le niveau de conformité est élevé,Compliance is high
L'amélioration des campagnes d'information et d'éducation peut s'avérer nécessaire avant le prochain cycle pour augmenter le niveau de conformité,Improved information and education campaigns may be needed prior to the next round to increase compliance
"Une meilleure formation peut s'avérer nécessaire pour s'assurer que l'équipe de l'étude comprend correctement la différence entre un médicament proposé et un médicament avalé, et que cette différence soit correctement expliquée aux personnes interrogées",Greater training may be needed to make sure the survey team correctly understands the difference between being offered the drug(s) and swallowing the drugs and that this difference is conveyed correctly to the respondents
Félicitez les équipes. Continuez d'utiliser les campagnes d'information et d'éducation en cours étant donné qu'elles semblent être efficaces,"Congratulate the teams. Continue with the current information and education campaigns, as they appear to be working"
"Conclusion ou observation, Causes potentielles à examiner, Mesure corrective","Finding or observation, Potential Causes to Investigate, Corrective action"
"Validé, Efficace, Attention, Intervention requise","Validated, Good, Caution, Action Required"
La couverture rapportée est comprise dans l'intervalle de confiance de 95 % contournant la couverture de l'étude.  Cela signifie que la couverture rapportée peut être considérée comme « validée » au sein de cette Unité de mise en œuvre ; aucune intervention ou amélioration au système de rapport n'est nécessaire.,The reported coverage is contained within the 95% confidence interval around the survey coverage.  This means the reported coverage can be considered be “validated” in that Implementation Unit; no action or improvements are required to the reporting system.
"La couverture rapportée se situe hors de l'intervalle de confiance de 95 % contournant la couverture de l'étude, mais est encore à ± 10 points de pourcentage de la couverture de l'étude, ce qui indique que le système de rapport fonctionne correctement ; aucune intervention ou amélioration au système de rapport n'est nécessaire.","The reported coverage is outside the 95% confidence interval around the survey coverage but is still within ± 10 percentage points of the survey coverage, which suggests the reporting system is working well; no action or improvements are required to the reporting system."
La couverture rapportée se situe entre ± 10 et 25 points de pourcentage d'écart de la couverture de l'étude.  Cela semble indiquer un éventuel problème au niveau du système de rapport et qu'une intervention peut s'avérer nécessaire si les ressources le permettent.,The reported coverage is between ± 10 to 25 percentage points different from the survey coverage.  This suggests there could be a problem with the reporting system and action may be required if resources permit.
La couverture rapportée se situe au moins à ± 25 points de pourcentage d'écart de la couverture de l'étude. Cela semble indiquer qu'il y a un véritable problème au niveau de la couverture rapportée et qu'une mesure de suivi destinée à améliorer le système de rapport dans l'unité de mise en œuvre est requise.,The reported coverage is at least ± 25 percentage points different from the survey coverage. This suggests that there is a real problem with the reported coverage and follow-up action to improve the reporting system in the Implementation Unit is required.
